id,createdAt,updateAt,district,cityId,deletedAt
00000000-0000-0000-0000-000000000031,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Kuta,00000000-0000-0000-0000-000000000021,
00000000-0000-0000-0000-000000000032,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Ubud,00000000-0000-0000-0000-000000000021,
00000000-0000-0000-0000-000000000033,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Seminyak,00000000-0000-0000-0000-000000000021,
00000000-0000-0000-0000-000000000041,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,The Strip,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000042,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Downtown,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000043,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Summerlin,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000044,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Henderson,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000045,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Paradise,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000046,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Spring Valley,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000047,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Enterprise,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000048,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Sunrise Manor,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-000000000049,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Winchester,00000000-0000-0000-0000-000000000022,
00000000-0000-0000-0000-00000000004a,2025-09-03 06:28:49.911295,2025-09-03 06:28:49.911295,Whitney,00000000-0000-0000-0000-000000000022,
05a2e916-e874-496d-899e-fc33e5e8d980,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Selemadeg Barat,867dde5f-5cbb-4fcc-8185-d6c339872190,
0775cb53-f87f-4770-bdb2-8699ec0c0b1c,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kubu,33303f10-dedd-4341-936a-c17d2a988fc8,
0d022f2e-2cd4-430a-8897-68cdc8470b2f,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Ubud,07a4b579-5491-4ac5-b54e-1247d398538d,
157d1ab5-29b8-4f77-bec6-df8dc74f97fa,2025-10-30 12:10:37.954527,2025-10-30 12:10:37.954527,Degas Sumatera,63a922c6-3a3a-492b-a469-e727b95e0e0e,
1a9e258a-671b-45a6-aa1f-3b1fa0d86ef0,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Denpasar Selatan,de754310-b2c3-48ee-a94f-b35c3338e261,
1d771432-118b-415c-8bf0-2315c618f836,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Klungkung,85a61be7-8e8f-45b6-a55e-219048ce6e90,
204c5523-cd28-4854-86e9-d6b0d4a528a9,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Payangan,07a4b579-5491-4ac5-b54e-1247d398538d,
21fa0a2a-fe0f-4aa7-83e3-9b05867343b0,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Mendoyo,63a922c6-3a3a-492b-a469-e727b95e0e0e,
2242aeae-5bea-4f75-ac01-c71c3d0bb689,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Sukasada,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
22775941-520e-4f0b-9c29-59464fe18d1a,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Negara,63a922c6-3a3a-492b-a469-e727b95e0e0e,
2513c99b-8f80-4a68-99ea-df5249379303,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Tabanan,867dde5f-5cbb-4fcc-8185-d6c339872190,
2b99ea16-e0b9-4c06-88f9-d9429d5f0122,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Seririt,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
2dafd669-505f-457e-b05a-d6ba7de22687,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Tejakula,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
350519fb-02ac-4f36-8067-51f3483cd045,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Buleleng,67f6d80e-bd2b-44e7-92da-3b95c0ed2ede,
3538b7dd-3880-438b-ad97-ae6f42ab88e5,2025-07-30 03:49:14.007434,2025-07-30 03:49:14.007434,Kintamani,580eced8-f6b1-4413-99ad-d159e03fe114,
